Ar-40 + neutron, exciton state: (1,1,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
           5         7.37847e+18         1.58838e+22         1.41683e+23                   0
           6         3.37006e+20         3.35432e+22         1.65265e+23                   0
           7         1.65951e+21         5.71076e+22         1.87831e+23                   0
           8         4.36277e+21         8.63086e+22         2.09542e+23                   0
           9         8.57567e+21         1.20682e+23         2.30343e+23                   0
          10         1.43064e+22         1.59817e+23         2.50253e+23                   0
          11         2.15118e+22         2.03355e+23         2.69314e+23                   0
          12         3.01283e+22         2.50981e+23         2.87575e+23                   0
          13         4.00857e+22         3.02418e+23         3.05087e+23                   0
          14         5.13133e+22         3.57416e+23         3.21898e+23                   0
          15          6.3743e+22         4.15756e+23         3.38053e+23                   0
          16           7.731e+22         4.77237e+23         3.53592e+23                   0
          17         9.19536e+22         5.41676e+23         3.68554e+23                   0
          18         1.07617e+23         6.08909e+23         3.82973e+23                   0
          19         1.24248e+23         6.78782e+23          3.9688e+23                   0
          20         1.41796e+23         7.51155e+23         4.10304e+23                   0
          21         1.60215e+23         8.25901e+23         4.23272e+23                   0
          22         1.79463e+23         9.02897e+23         4.35807e+23                   0
          23           1.995e+23         9.82035e+23         4.47934e+23                   0
          24         2.20289e+23         1.06321e+24         4.59672e+23                   0
          25         2.41793e+23         1.14632e+24         4.71041e+23                   0


Ar-40 + neutron, exciton state: (0,0,2,2)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3         5.53975e+20                   0                   0         4.96211e+22
           4         5.24653e+21         1.28889e+17                   0         6.43151e+22
           5          1.4473e+22         4.18371e+20                   0         7.83944e+22
           6         2.91527e+22         3.60825e+21                   0         9.30097e+22
           7          4.8417e+22          1.1279e+22                   0         1.06996e+23
           8         7.20611e+22         2.40063e+22                   0         1.20451e+23
           9         9.97204e+22         4.18039e+22                   0         1.33344e+23
          10         1.31074e+23         6.44866e+22                   0         1.45685e+23
          11         1.65843e+23         9.18036e+22                   0           1.575e+23
          12         2.03781e+23         1.23491e+23                   0          1.6882e+23
          13         2.44675e+23         1.59293e+23                   0         1.79677e+23
          14         2.88332e+23         1.98967e+23                   0           1.901e+23
          15         3.34579e+23         2.42289e+23                   0         2.00116e+23
          16         3.83262e+23         2.89051e+23                   0         2.09752e+23
          17          4.3424e+23         3.39061e+23                   0          2.1903e+23
          18         4.87384e+23         3.92142e+23                   0         2.27971e+23
          19         5.42575e+23         4.48131e+23                   0         2.36595e+23
          20         5.99707e+23         5.06875e+23                   0          2.4492e+23
          21         6.58677e+23         5.68235e+23                   0         2.52963e+23
          22         7.19394e+23         6.32079e+23                   0         2.60738e+23
          23         7.81772e+23         6.98286e+23                   0         2.68259e+23
          24         8.45729e+23         7.66743e+23                   0         2.75539e+23
          25         9.11192e+23         8.37343e+23                   0         2.82591e+23


Ar-40 + neutron, exciton state: (1,1,1,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3          2.5794e+18         5.16308e+19         1.50877e+21         2.56067e+20
           4         6.31065e+20         2.18681e+21         8.74559e+21         4.09513e+21
           5         3.41141e+21         8.97431e+21         1.58587e+22         8.55833e+21
           6         9.40505e+21          2.1984e+22          2.2882e+22         1.30326e+22
           7         1.85518e+22         4.07571e+22         2.93841e+22         1.71614e+22
           8         3.07942e+22         6.51095e+22         3.55054e+22          2.1027e+22
           9         4.59388e+22         9.46435e+22         4.12876e+22         2.46607e+22
          10         6.37862e+22         1.28978e+23         4.67685e+22         2.80915e+22
          11         8.41491e+22         1.67768e+23         5.19795e+22         3.13433e+22
          12         1.06857e+23         2.10702e+23         5.69467e+22         3.44354e+22
          13         1.31756e+23         2.57506e+23          6.1692e+22         3.73836e+22
          14         1.58708e+23          3.0793e+23         6.62339e+22         4.02009e+22
          15         1.87587e+23         3.61751e+23         7.05883e+22         4.28983e+22
          16         2.18278e+23         4.18767e+23         7.47689e+22         4.54853e+22
          17         2.50677e+23         4.78793e+23          7.8788e+22         4.79699e+22
          18          2.8469e+23         5.41661e+23         8.26562e+22         5.03595e+22
          19         3.20229e+23         6.07217e+23          8.6383e+22         5.26601e+22
          20         3.57213e+23         6.75317e+23         8.99772e+22         5.48776e+22
          21         3.95567e+23         7.45831e+23         9.34465e+22         5.70169e+22
          22         4.35223e+23         8.18637e+23          9.6798e+22         5.90827e+22
          23         4.76116e+23         8.93621e+23         1.00038e+23          6.1079e+22
          24         5.18186e+23         9.70678e+23         1.03173e+23         6.30097e+22
          25         5.61378e+23         1.04971e+24         1.06208e+23         6.48782e+22


